rollcall_id,date,year,session,bsb_volume_id,bsb_url,header_canvas,bill_column,bill_description,bill_drucksache,vote_yes,vote_no,vote_abstain,total_ballots,verified,source
1,1931-03-03,1931,35. Sitzung,bsb00000129,https://www.digitale-sammlungen.de/de/view/bsb00000129,287,1,"Mißtraueusantrag der Abgeordneten Strecker, Torgler und Genossen gegen den Reichsininister für Ernährung und Landwirtschaft 1>r. Schiele",824,,,,,True,BSB OCR extraction (verified Zusammenstellung)
2,1931-03-03,1931,35. Sitzung,bsb00000129,https://www.digitale-sammlungen.de/de/view/bsb00000129,287,2,"Antrag der Abgeordneten Torgler, Hoernle, Putz, Schröter (Merseburg) und Genossen, betreffend Getreide- bewirtschaftung, Vermahlung und Brvthersteltnng - Nr. 107 der Drucksachen —",107,,,,,True,BSB OCR extraction (verified Zusammenstellung)
3,1931-03-03,1931,35. Sitzung,bsb00000129,https://www.digitale-sammlungen.de/de/view/bsb00000129,287,4,vom 7. Ausschuß (.Handelspolitik) beantragten Entwurf eines Gesetzes über die Einfuhr von Gefrier­ fleisch (Schlnßabstimmnng),845,,,,,True,BSB OCR extraction (verified Zusammenstellung)
4,1931-03-03,1931,35. Sitzung,bsb00000129,https://www.digitale-sammlungen.de/de/view/bsb00000129,287,5,"vom 5. Ausschuß (NeichShausbalt) beantragte Entschließung, betreffend die Verbilligung von Frisch­ fleisch für die minderbemittelte Bevölkerung",247,,,,,True,BSB OCR extraction (verified Zusammenstellung)
5,1931-03-26,1931,52. Sitzung,bsb00000129,https://www.digitale-sammlungen.de/de/view/bsb00000129,1007,2,"Änderungsantrag der Abgeordneten Stoecker, Torgler, Hoernle, Schütz, Becker (Breslau), Zadasch nnd Genossen — Nr. 1034 Ziffer 4 Absatz 2 der Drucksachen — zur dritten Beratung des Entwurfs eines Gesetzes über Hilfsmaßnahmen für die notleidenden Gebiete des Ostens (Osthilfegesetz) — Nr. 901, 982, 103",,,,,,True,BSB OCR extraction (verified Zusammenstellung)
6,1931-03-26,1931,52. Sitzung,bsb00000129,https://www.digitale-sammlungen.de/de/view/bsb00000129,1007,3,"Entwurf eines Gesetzes über Hilfsmaßnahmen für die notleidenden Gebiete des Ostens (Osthilfe­ gesetz) — Nr. 901, 982, 1033 der Drucksachen I T 2^ 3^ Name Abstimmung Sozialdemokratische Partei.",,,,,,True,BSB OCR extraction (verified Zusammenstellung)
